Date,Open,High,Low,Close,Adj Close,Volume
2016-08-10,98.720001,99.440002,98.000000,98.000000,87.327637,3202505
2016-08-11,98.139999,99.500000,97.889999,99.389999,88.566261,5477700
2016-08-12,99.779999,100.269997,98.800003,98.800003,88.040512,4637600
2016-08-15,99.300003,99.629997,98.800003,99.129997,88.334564,3113900
2016-08-16,99.129997,100.190002,98.209999,99.309998,88.494965,4918004
2016-08-17,98.510002,99.059998,97.720001,98.949997,88.174171,4040200
2016-08-18,99.230003,99.870003,97.830002,98.849998,88.085068,4296200
2016-08-19,99.059998,99.320000,97.410004,98.400002,87.684067,3699000
2016-08-22,97.870003,99.489998,97.209999,99.150002,88.352394,6267800
2016-08-23,98.949997,101.129997,98.610001,100.800003,89.822708,5524000
2016-08-24,100.330002,100.849998,99.559998,100.300003,89.377159,5601100
2016-08-25,100.300003,102.809998,100.080002,102.800003,91.604904,6852800
2016-08-26,103.000000,104.769997,102.760002,104.089996,92.754417,6925000
2016-08-29,103.010002,103.739998,102.519997,103.599998,92.317780,2797300
2016-08-30,103.699997,104.419998,102.339996,102.449997,91.293015,4572000
2016-08-31,102.430000,102.760002,101.400002,101.970001,90.865295,5594586
2016-09-01,102.669998,103.500000,102.190002,103.320000,92.068275,3160300
2016-09-02,103.199997,104.599998,102.370003,104.150002,92.807892,5564505
2016-09-05,104.529999,106.449997,104.269997,105.970001,94.429688,4450400
2016-09-06,106.300003,107.959999,105.449997,107.959999,96.202965,4818800
2016-09-07,108.089996,111.610001,108.000000,110.900002,98.822800,9597200
2016-09-08,111.849998,112.650002,108.599998,109.070000,97.192085,10884500
2016-09-09,108.400002,108.500000,107.209999,107.660004,95.935646,4088000
2016-09-12,106.470001,107.800003,105.669998,107.510002,95.801979,4671737
2016-09-13,107.599998,108.139999,105.980003,106.970001,95.320786,4243700
2016-09-14,107.379997,108.070000,106.360001,106.930000,95.285141,4301400
2016-09-15,106.699997,107.550003,106.300003,107.309998,95.623749,7421000
2016-09-16,107.570000,108.110001,105.260002,106.059998,94.509880,6670600
2016-09-19,106.970001,107.769997,106.300003,107.000000,95.347519,3802417
2016-09-20,106.650002,107.400002,105.550003,107.290001,95.605934,2093236
2016-09-21,107.419998,109.129997,107.419998,108.449997,96.639603,4735300
2016-09-22,109.480003,111.550003,109.220001,111.470001,99.330727,5817880
2016-09-23,111.000000,111.589996,108.699997,109.379997,97.468323,4485900
2016-09-26,108.980003,110.459999,108.199997,109.260002,97.361397,4393909
2016-09-27,109.910004,109.910004,108.279999,108.750000,96.906937,2891629
2016-09-28,108.980003,109.889999,108.449997,109.199997,97.307930,2505015
2016-09-29,110.970001,111.260002,108.830002,109.000000,97.129715,6210277
2016-09-30,107.900002,107.900002,105.500000,105.820000,94.296021,5825886
2016-10-03,106.769997,109.000000,106.070000,108.550003,96.728722,6365001
2016-10-04,108.730003,108.900002,106.870003,107.820000,96.078217,4181700
2016-10-05,107.820000,108.870003,106.900002,108.680000,96.844559,3544001
2016-10-06,108.779999,111.290001,108.550003,111.010002,98.920815,7339130
2016-10-07,111.000000,112.209999,110.459999,111.220001,99.107948,6745800
2016-10-10,111.089996,114.250000,110.610001,113.400002,101.050545,6721600
2016-10-11,113.589996,114.989998,113.199997,113.900002,101.496094,5638000
2016-10-12,114.099998,114.099998,111.860001,112.320000,100.088158,4416400
2016-10-13,111.839996,112.449997,110.599998,110.650002,98.600021,4972902
2016-10-14,111.339996,111.690002,109.800003,110.599998,98.555466,6657580
2016-10-17,110.889999,111.290001,109.410004,110.190002,98.190117,6965500
2016-10-18,110.610001,111.440002,110.260002,110.919998,98.840614,4992100
2016-10-19,111.110001,112.099998,110.769997,111.860001,99.678253,4437031
2016-10-20,111.989998,113.139999,111.360001,111.370003,99.241623,5362400
2016-10-21,111.000000,112.400002,110.709999,111.750000,99.580231,2998702
2016-10-24,112.050003,113.320000,111.800003,112.199997,99.981224,5166201
2016-10-25,112.900002,113.370003,112.529999,112.820000,100.533707,6776005
2016-10-26,112.599998,112.830002,111.150002,111.480003,99.339638,4755710
2016-10-27,111.300003,112.500000,111.300003,112.110001,99.901024,3694101
2016-10-28,112.400002,112.449997,111.410004,112.440002,100.195091,1875801
2016-10-31,111.800003,112.500000,111.250000,111.589996,99.437653,2487850
