ISIN;Name;Price;Nominal;Coupon;ACI;Coupon_date;Coupon_days;Expiration_date
RU000A0JX4Q9;ВЭБ_ПБО1Р5;104.06;1000;48.13;46.79;01.07.2019;180;17.12.2021
RU000A0JXRP9;ВЭБ_ПБО1Р7;100.48;1000;45.13;8.18;22.11.2019;182;22.11.2019
RU000A0JXU48;ВЭБ_ПБО1Р8;100.9995;1000;21.19;43.77;19.12.2019;182;15.12.2022
RU000A0JXU71;ВЭБ_ПБО1Р9;101.56;1000;43.63;1.2;20.12.2019;182;18.06.2021
RU000A0JR3H8;ВЭБ.РФ_06;100.6;1000;41.79;16.3;15.10.2019;182;13.10.2020
RU000A0JR3G0;ВЭБ.РФ_08;102.1;1000;48.37;18.87;15.10.2019;182;13.10.2020
RU000A0JRCX7;ВЭБ.РФ_09;101.36;1000;44.38;23.65;19.09.2019;182;18.03.2021
RU000A0JRTN2;ВЭБ.РФ_10;103.37;1000;49.12;24.83;24.09.2019;182;21.09.2021
RU000A0JT403;ВЭБ.РФ_18;100.69;1000;48.87;22.02;04.10.2019;182;17.09.2032
RU000A0JT6B2;ВЭБ.РФ_19;102.4;1000;48.62;20.3;10.10.2019;182;23.09.2032
RU000A0JS4Z7;ВЭБ.РФ_21;102.45;1000;43.98;27.31;03.09.2019;182;17.02.2032
RU000A0JUBA1;ВЭБ.РФ_31;0;1000;20.82;6.63;27.08.2019;91;24.11.2020
RU000A0JVQA7;ВЭБ.РФ_Б05;101.7;1000;22.94;8.57;22.08.2019;91;20.08.2020
RU000A0JUTB1;ВЭБ.РФ_Б11;0;1000;24.31;7.21;29.08.2019;91;16.08.2029
RU000A0NH178;ВЭБ1P-К151;100;1000;0;0;;0;26.06.2019
RU000A0NH194;ВЭБ1P-К153;0;1000;5.85;5.44;28.06.2019;28;28.06.2019
RU000A0NH1A3;ВЭБ1P-К154;100;1000;4.37;4.16;27.06.2019;21;27.06.2019
RU000A0NH1B1;ВЭБ1P-К155;100;1000;5.78;2.48;12.07.2019;28;12.07.2019
RU000A100F46;ВЭБ1P-К156;0;1000;4.36;2.7;04.07.2019;21;04.07.2019
RU000A100F53;ВЭБ1P-К157;0;1000;2.87;1.44;03.07.2019;14;03.07.2019
RU000A100F61;ВЭБ1P-К158;100;1000;4.27;1.22;11.07.2019;21;11.07.2019
RU000A100F79;ВЭБ1P-К159;100;1000;5.65;1.01;19.07.2019;28;19.07.2019
