INSTRUMENT_ID;SUPERTYPE;ISIN
11075;Облигации;RU000A0ZZ8X4
8993;Облигации;RU000A0JVS10
9067;Облигации;RU000A0JVWM0
9616;Облигации;RU000A0JWXF0
10564;Облигации;RU000A0ZYCM2
10621;Облигации;RU000A0ZYFB8
11150;Облигации;RU000A0ZZC48
11328;Облигации;RU000A0ZZM87
5359;Облигации;RU000A0JU3B6
8976;Облигации;RU000A0JVPR3
10607;Облигации;RU000A0ZYDQ1
9422;Облигации;RU000A0JWLD0
11477;Облигации;RU000A0ZZUT6
6164;Облигации;RU000A0JUX89
9612;Облигации;RU000A0JWX87
5950;Облигации;RU000A0JUPE3
8941;Облигации;RU000A0JVM81
10716;Облигации;RU000A0ZYKH5
5927;Облигации;RU000A0JUN81
8929;Облигации;RU000A0JVKF9
9683;Облигации;RU000A0JWZM1
10401;Облигации;RU000A0JXUD9
10498;Облигации;RU000A0JY031
5977;Облигации;RU000A0JUQH4
8883;Облигации;RU000A0JVEH8
9386;Облигации;RU000A0JWGT6
9976;Облигации;RU000A0JXR43
11061;Облигации;RU000A0ZZ7E6
11384;Облигации;RU000A0ZZNJ2
12241;Облигации;RU000A100CN3
4104;Еврооблигации;XS0504954347
4229;Еврооблигации;XS0767472458
4230;Еврооблигации;XS0767473852
5403;Еврооблигации;XS0971721450
5397;Еврооблигации;XS0971721963
9402;Еврооблигации;RU000A0JWHA4
10426;Еврооблигации;RU000A0JXTS9
10425;Еврооблигации;RU000A0JXU14
10929;Еврооблигации;RU000A0ZYYN4
11849;Еврооблигации;RU000A1006S9
5402;Еврооблигации;XS0971722342
11618;Еврооблигации;RU000A0ZZVE6
9699;Облигации;RU000A0JX0J2
10597;Облигации;RU000A0ZYCK6
4087;Облигации;RU000A0JREQ7
4134;Облигации;RU000A0JS3W6
4389;Облигации;RU000A0JSMA2
4654;Облигации;RU000A0JTG59
4791;Облигации;RU000A0JTJL3
4793;Облигации;RU000A0JTK38
5179;Облигации;RU000A0JTYA5
5374;Облигации;RU000A0JU4L3
9070;Облигации;RU000A0JVW30
8657;Облигации;RU000A0JVW48
9438;Облигации;RU000A0JWM07
9805;Облигации;RU000A0JXB41
9817;Облигации;RU000A0JXFM1
9950;Облигации;RU000A0JXQF2
10848;Облигации;RU000A0ZYU88
10853;Облигации;RU000A0ZYUA9
10855;Облигации;RU000A0ZYUB7
11643;Облигации;RU000A0ZZYW2
11842;Облигации;RU000A1007F4
11910;Облигации;RU000A100A82
12284;Облигации;RU000A100EG3
12285;Облигации;RU000A100EF5
8651;Облигации;RU000A0JV4L2
8652;Облигации;RU000A0JV4M0
8648;Облигации;RU000A0JV4P3
8649;Облигации;RU000A0JV4N8
8650;Облигации;RU000A0JV4Q1
8655;Облигации;RU000A0JV7J9
9700;Облигации;RU000A0JX0H6
4092;Облигации;RU0002867854
4093;Облигации;RU0002868001
4096;Облигации;RU000A0D0G29
4098;Облигации;RU000A0GN9A7
4100;Облигации;RU000A0JPLH5
4101;Облигации;RU000A0JRTL6
8942;Облигации;RU000A0JVMH1
10919;Облигации;RU000A0ZYZ26
9937;Облигации;RU000A0JXPQ1
10534;Облигации;RU000A0ZYA25
10912;Облигации;RU000A0ZYXW7
1269;Еврооблигации;XS0088543193
1242;Еврооблигации;US78307AAE38
1271;Еврооблигации;XS0114288789
1245;Еврооблигации;US78307ACZ49
9634;Облигации;RU000A0JWZ77
10610;Облигации;RU000A0ZYDU3
11431;Облигации;RU000A0ZZQH9
5528;Облигации;RU000A0JU9G2
9630;Облигации;RU000A0JWY29
11433;Облигации;RU000A0ZZQQ0
5995;Облигации;RU000A0JUR46
9555;Облигации;RU000A0JWUV3
10544;Облигации;RU000A0ZYBD3
11394;Облигации;RU000A0ZZPB4
10744;Облигации;RU000A0ZYML3
9692;Облигации;RU000A0JX0B9
5308;Облигации;RU000A0JU1T2
9026;Облигации;RU000A0JVUD3
9388;Облигации;RU000A0JWHW8
10688;Облигации;RU000A0ZYH93
9768;Облигации;RU000A0JX3M0
9991;Облигации;RU000A0JXRM6
10024;Облигации;RU000A0JXS26
10707;Облигации;RU000A0ZYJT2
10738;Облигации;RU000A0ZYLX0
10753;Облигации;RU000A0ZYL89
11388;Облигации;RU000A0ZZNW5
11274;Облигации;RU000A0ZZCH9
11489;Облигации;RU000A0ZZV86
11637;Облигации;RU000A0ZZZ58
11728;Облигации;RU000A0ZZZ09
11879;Облигации;RU000A100DQ4
9563;Облигации;RU000A0JWUD1
9995;Облигации;RU000A0JXRS3
10921;Облигации;RU000A0ZZ083
4975;Облигации;RU000A0JVUX1
11722;Облигации;RU000A1002L3
4976;Облигации;RU000A0JW9G0
11885;Облигации;RU000A100AB2
4977;Облигации;RU000A0JWG05
4978;Облигации;RU000A0JWPL4
9708;Облигации;RU000A0JX0L8
9561;Облигации;RU000A0JWU80
9252;Облигации;RU000A0JW316
9175;Облигации;RU000A0JVZJ9
9337;Облигации;RU000A0JWGW0
9565;Облигации;RU000A0JWVB3
9908;Облигации;RU000A0JXP29
10693;Облигации;RU000A0ZYHU4
9867;Облигации;RU000A0JXN62
10690;Облигации;RU000A0ZYH51
11439;Облигации;RU000A0ZZR58
12280;Облигации;RU000A100EM1
4926;Облигации;RU000A0JTR72
4927;Облигации;RU000A0JTR80
4915;Облигации;RU000A0JTQB9
9986;Облигации;RU000A0JXRX3
11815;Облигации;RU000A100782
5267;Облигации;RU000A0JVP05
5270;Облигации;RU000A0JVRN8
8900;Облигации;RU000A0JVF98
